n,min,model,pval,simslope,slope
313,1,PGLSSEY,0.35,0,-4.38E-08
313,1,PGLSSEYOPTIM,0.23,0,-5.74E-08
NA,NA,Compar,NA,NA,NA
300,20,PGLSSEY,0.87,0,7.51E-09
300,20,PGLSSEYOPTIM,0.65,0,2.03E-08
300,20,Compar,0.289116094,0,-1.64E-07
293,20,PGLSSEY,0.97,0,-1.13E-09
293,20,PGLSSEYOPTIM,0.96,0,-1.76E-09
293,20,Compar,0.974710085,0,3.58E-09
309,1,PGLSSEY,0.7,0,5.33E-09
309,1,PGLSSEYOPTIM,0.86,0,2.44E-09
NA,NA,Compar,NA,NA,NA
301,10,PGLSSEY,0.91,0,4.62E-09
301,10,PGLSSEYOPTIM,0.9,0,5.28E-09
301,10,Compar,0.497702982,0,-9.43E-08
294,5,PGLSSEY,0.69,0,-1.29E-08
294,5,PGLSSEYOPTIM,0.4,0,-2.74E-08
294,5,Compar,0.084246628,0,-1.95E-07
309,1,PGLSSEY,0.88,0,2.77E-09
309,1,PGLSSEYOPTIM,0.99,0,2.60E-10
309,1,Compar,5.66E-05,0,3.35E-07
292,5,PGLSSEY,0.28,0,-1.59E-08
292,5,PGLSSEYOPTIM,0.18,0,-1.98E-08
292,5,Compar,0.0169125,0,-1.26E-07
290,1,PGLSSEY,0.54,0,2.09E-08
290,1,PGLSSEYOPTIM,0.21,0,4.41E-08
NA,NA,Compar,NA,NA,NA
298,10,PGLSSEY,0.69,0,1.42E-08
298,10,PGLSSEYOPTIM,0.91,0,4.10E-09
NA,NA,Compar,NA,NA,NA
308,1,PGLSSEY,0.34,0,1.73E-08
308,1,PGLSSEYOPTIM,0.13,0,2.74E-08
NA,NA,Compar,NA,NA,NA
302,20,PGLSSEY,0.23,0,-4.82E-08
302,20,PGLSSEYOPTIM,0.22,0,-4.90E-08
302,20,Compar,0.077266213,0,-2.35E-07
293,5,PGLSSEY,0.29,0,-2.15E-08
293,5,PGLSSEYOPTIM,0.33,0,-1.96E-08
293,5,Compar,0.00171952,0,2.24E-07
297,1,PGLSSEY,0.36,0,-5.17E-08
297,1,PGLSSEYOPTIM,0.27,0,-6.43E-08
297,1,Compar,0.070043151,0,-3.90E-07
300,10,PGLSSEY,0.61,0,1.78E-08
300,10,PGLSSEYOPTIM,0.47,0,2.55E-08
300,10,Compar,2.00E-14,0,1.63E-06
300,5,PGLSSEY,0.3,0,-9.24E-08
300,5,PGLSSEYOPTIM,0.23,0,-1.08E-07
NA,NA,Compar,NA,NA,NA
306,20,PGLSSEY,0.52,0,-2.34E-08
306,20,PGLSSEYOPTIM,0.52,0,-2.31E-08
306,20,Compar,2.17E-08,0,8.69E-07
296,1,PGLSSEY,0.72,0,6.87E-09
296,1,PGLSSEYOPTIM,0.54,0,1.16E-08
296,1,Compar,0.997412399,0,-2.10E-10
303,10,PGLSSEY,0.8,0,-4.44E-09
