"","n","min","model","pval","simslope","slope"
"x3803",48,10,"PGLSSEY",0.73,0,9.48813100102845e-08
"x12803",48,10,"PGLSSEYOPTIM",0.52,0,1.90717221161936e-07
"12803",48,10,"Compar",0.399883333923008,0,-8.16654618458246e-07
"x3804",49,10,"PGLSSEY",0.51,0,-8.33691574156824e-08
"x12804",49,10,"PGLSSEYOPTIM",0.53,0,-7.97238548060979e-08
"12804",49,10,"Compar",0.994773685452347,0,-2.6916944586264e-09
"x3805",47,10,"PGLSSEY",0.49,0,-1.70092170970296e-07
"x12805",47,10,"PGLSSEYOPTIM",0.49,0,-1.69281576265208e-07
"12805",47,10,"Compar",0.38453776167075,0,7.58334966196776e-07
"x3806",44,10,"PGLSSEY",0.55,0,-6.30383989257135e-08
"x12806",44,10,"PGLSSEYOPTIM",0.48,0,-7.48692728617177e-08
"12806",44,10,"Compar",0.589608042725822,0,-2.04302670701156e-07
"x3807",46,10,"PGLSSEY",0.96,0,1.05258305515158e-08
"x12807",46,10,"PGLSSEYOPTIM",0.88,0,-3.59726127605585e-08
"12807",46,10,"Compar",0.238528385496537,0,1.01845860187045e-06
"x3808",47,10,"PGLSSEY",0.18,0,-5.79886152388815e-07
"x12808",47,10,"PGLSSEYOPTIM",0.28,0,-4.92056033670915e-07
"12808",47,10,"Compar",0.329572038505803,0,-1.77223309487134e-06
"x3809",45,10,"PGLSSEY",0.91,0,2.68962422580581e-08
"x12809",45,10,"PGLSSEYOPTIM",0.9,0,-3.25317560200718e-08
"12809",45,10,"Compar",0.651653862422733,0,-3.4905488817557e-07
"x3810",47,10,"PGLSSEY",0.53,0,1.6772258249152e-07
"x12810",47,10,"PGLSSEYOPTIM",0.69,0,1.04181964745477e-07
"12810",47,10,"Compar",0.287975242693409,0,-9.37361305351684e-07
"x3811",48,10,"PGLSSEY",0.55,0,-7.10038823197524e-08
"x12811",48,10,"PGLSSEYOPTIM",0.93,0,-1.06458799960789e-08
"12811",NA,NA,"Compar",NA,NA,NA
"x3812",49,10,"PGLSSEY",0.63,0,-2.37073560445408e-08
"x12812",49,10,"PGLSSEYOPTIM",0.52,0,-2.96930693076419e-08
"12812",49,10,"Compar",0.298533191165189,0,-2.0927499385363e-07
"x3813",46,10,"PGLSSEY",0.98,0,-1.35289083170857e-09
"x12813",46,10,"PGLSSEYOPTIM",0.91,0,5.89293981703535e-09
"12813",46,10,"Compar",0.499140399088071,0,-1.34280500882286e-07
"x3814",49,10,"PGLSSEY",0.92,0,2.5739977679771e-08
"x12814",49,10,"PGLSSEYOPTIM",0.88,0,4.2030765560101e-08
"12814",49,10,"Compar",0.157778784194821,0,-1.32062783192239e-06
"x3815",47,10,"PGLSSEY",0.94,0,1.62591807339569e-08
"x12815",47,10,"PGLSSEYOPTIM",0.95,0,-1.55056694496493e-08
"12815",NA,NA,"Compar",NA,NA,NA
"x3816",46,10,"PGLSSEY",0.67,0,7.49071060505993e-08
"x12816",46,10,"PGLSSEYOPTIM",0.52,0,1.03717221972136e-07
"12816",46,10,"Compar",0.18367286322327,0,-8.22195751561108e-07
"x3817",47,10,"PGLSSEY",0.57,0,1.96412495137472e-07
"x12817",47,10,"PGLSSEYOPTIM",0.68,0,1.46294404768018e-07
"12817",47,10,"Compar",0.591425077617155,0,7.4385511574387e-07
"x3818",48,10,"PGLSSEY",0.73,0,3.55508713248747e-08
"x12818",48,10,"PGLSSEYOPTIM",0.84,0,-1.97631305963823e-08
"12818",48,10,"Compar",0.481104106314099,0,2.66254206028311e-07
"x3819",45,10,"PGLSSEY",0.45,0,-5.43271069283955e-08
"x12819",45,10,"PGLSSEYOPTIM",0.44,0,-5.5230573333572e-08
"12819",45,10,"Compar",0.454989185446121,0,1.89379605941712e-07
"x3820",48,10,"PGLSSEY",0.99,0,7.83296160972887e-09
"x12820",48,10,"PGLSSEYOPTIM",0.95,0,-3.46073115899352e-08
"12820",48,10,"Compar",0.185175309280635,0,2.67506136654463e-06
"x3821",47,10,"PGLSSEY",0.54,0,3.85152012036841e-07
"x12821",47,10,"PGLSSEYOPTIM",0.66,0,2.78195010134151e-07
"12821",NA,NA,"Compar",NA,NA,NA
"x3822",47,10,"PGLSSEY",0.57,0,-6.63704968507546e-08
"x12822",47,10,"PGLSSEYOPTIM",0.55,0,-6.93325651769667e-08
"12822",47,10,"Compar",0.0384787765051913,0,8.97353712424295e-07
"x3823",45,10,"PGLSSEY",1,0,4.17358519377946e-10
"x12823",45,10,"PGLSSEYOPTIM",0.84,0,-1.40731907494041e-08
"12823",45,10,"Compar",0.784546714141279,0,6.08059611453136e-08
"x3824",48,10,"PGLSSEY",0.92,0,-7.65446099180525e-08
"x12824",48,10,"PGLSSEYOPTIM",0.8,0,-1.88468968779317e-07
"12824",48,10,"Compar",0.167166278581279,0,-3.50842109473709e-06
"x3825",46,10,"PGLSSEY",0.94,0,3.54184672993633e-09
"x12825",46,10,"PGLSSEYOPTIM",0.89,0,6.39011968697123e-09
"12825",46,10,"Compar",0.622048999058562,0,-8.42615136757826e-08
"x3826",44,10,"PGLSSEY",0.84,0,5.59059279268035e-08
"x12826",44,10,"PGLSSEYOPTIM",0.75,0,8.98122462668996e-08
"12826",44,10,"Compar",0.304300571584265,0,1.17588619482168e-06
"x3827",50,10,"PGLSSEY",0.78,0,1.36234116036659e-08
"x12827",50,10,"PGLSSEYOPTIM",0.92,0,5.1238274355393e-09
"12827",50,10,"Compar",0.834945549466757,0,-3.06745902218122e-08
"x3828",50,10,"PGLSSEY",0.48,0,-3.98088696569107e-07
"x12828",50,10,"PGLSSEYOPTIM",0.4,0,-4.50833916986866e-07
"12828",50,10,"Compar",0.141971329795807,0,-2.98441381927141e-06
"x3829",44,10,"PGLSSEY",0.97,0,4.7027827535746e-09
"x12829",44,10,"PGLSSEYOPTIM",0.91,0,1.16688883249359e-08
"12829",NA,NA,"Compar",NA,NA,NA
"x3830",48,10,"PGLSSEY",0.95,0,2.15050213182423e-09
"x12830",48,10,"PGLSSEYOPTIM",0.61,0,-1.6869870535886e-08
"12830",48,10,"Compar",0.0546450628538095,0,-2.50659914433123e-07
"x3831",49,10,"PGLSSEY",0.95,0,4.72762846112716e-09
"x12831",49,10,"PGLSSEYOPTIM",0.92,0,7.51869120294844e-09
"12831",49,10,"Compar",0.05042411494468,0,5.45369836872406e-07
"x3832",45,10,"PGLSSEY",0.75,0,-1.59383882204434e-08
"x12832",45,10,"PGLSSEYOPTIM",0.58,0,-2.73370355456554e-08
"12832",45,10,"Compar",0.324994233827039,0,-1.74101448989696e-07
"x3833",48,10,"PGLSSEY",0.58,0,-6.37609479174659e-08
"x12833",48,10,"PGLSSEYOPTIM",0.64,0,-5.42238778382537e-08
"12833",48,10,"Compar",0.734827844912085,0,-1.40046908403448e-07
"x3834",47,10,"PGLSSEY",0.53,0,1.17874465597426e-07
"x12834",47,10,"PGLSSEYOPTIM",0.83,0,4.31819850414804e-08
"12834",47,10,"Compar",0.0298053661551827,0,1.73075731794948e-06
"x3835",47,10,"PGLSSEY",0.47,0,-2.60026602551569e-07
"x12835",47,10,"PGLSSEYOPTIM",0.43,0,-2.82657786974782e-07
"12835",47,10,"Compar",0.187149968977307,0,-1.44213370010129e-06
"x3836",48,10,"PGLSSEY",0.85,0,-1.8281887582104e-08
"x12836",48,10,"PGLSSEYOPTIM",0.91,0,-1.03295319275303e-08
"12836",48,10,"Compar",0.0225332301621226,0,-8.3095681860227e-07
"x3837",47,10,"PGLSSEY",0.68,0,6.88598665744268e-08
"x12837",47,10,"PGLSSEYOPTIM",0.73,0,5.55501270477496e-08
"12837",47,10,"Compar",0.159985137677586,0,8.39444936678977e-07
"x3838",48,10,"PGLSSEY",0.93,0,-3.02664862804364e-09
"x12838",48,10,"PGLSSEYOPTIM",0.99,0,3.04062898865587e-10
"12838",48,10,"Compar",0.0660418883018177,0,2.45074320794073e-07
"x3839",46,10,"PGLSSEY",0.51,0,-3.66047775252302e-08
"x12839",46,10,"PGLSSEYOPTIM",0.51,0,-3.66897755052673e-08
"12839",46,10,"Compar",0.735102952651177,0,-6.85812401418263e-08
"x3840",46,10,"PGLSSEY",0.56,0,2.77362860499253e-08
"x12840",46,10,"PGLSSEYOPTIM",0.72,0,1.73532162624051e-08
"12840",46,10,"Compar",0.157462013798198,0,-2.38395392912083e-07
"x3841",47,10,"PGLSSEY",0.91,0,-2.61579981340371e-08
"x12841",47,10,"PGLSSEYOPTIM",0.7,0,-9.2968631490206e-08
"12841",47,10,"Compar",0.639630283069511,0,-3.97679303033902e-07
"x3842",47,10,"PGLSSEY",0.66,0,4.94689086961258e-08
"x12842",47,10,"PGLSSEYOPTIM",0.57,0,6.41697108387218e-08
"12842",47,10,"Compar",0.719518654747555,0,-1.36330822479779e-07
"x3843",47,10,"PGLSSEY",0.74,0,7.93773837188985e-08
"x12843",47,10,"PGLSSEYOPTIM",0.83,0,5.07790865454731e-08
"12843",47,10,"Compar",0.571028759725728,0,-4.99668238545185e-07
"x3844",46,10,"PGLSSEY",0.66,0,-1.17497767483507e-07
"x12844",46,10,"PGLSSEYOPTIM",0.66,0,-1.18782246457131e-07
"12844",46,10,"Compar",0.300762881508994,0,-9.75345712144302e-07
"x3845",46,10,"PGLSSEY",0.74,0,9.10650706448848e-08
"x12845",46,10,"PGLSSEYOPTIM",0.66,0,1.19397550356777e-07
"12845",46,10,"Compar",0.999129522734685,0,-9.50635298878599e-10
"x3846",44,10,"PGLSSEY",0.61,0,2.91633415478058e-07
